id;name;city;country;iata;icao;tz
6216;Usti Nad Labem Airfield;Usti Nad Labem;Czech Republic;NULL;LKUL;Europe/Prague
6217;Mauterndorf Airport;Mauterndorf;Austria;NULL;LOSM;Europe/Vienna
6218;Nötsch Im Gailtal Airport;Notsch Im Gailtal;Austria;NULL;LOKN;Europe/Vienna
6219;Sinsheim Airfield;Karlsruhe;Germany;NULL;EDTK;Europe/Berlin
6220;Weinheim/Bergstraße Airport;Weinheim;Germany;NULL;EDGZ;Europe/Berlin
6221;Meaux Esbly Airport;Meaux;France;NULL;LFPE;Europe/Paris
6222;Château-Thierry - Belleau Airfield;Chateau-Thierry;France;NULL;LFFH;Europe/Paris
6223;Branch County Memorial Airport;Coldwater;United States;NULL;KOEB;America/New_York
6224;Wilkes Barre Wyoming Valley Airport;Wilkes-Barre;United States;WBW;KWBW;America/New_York
6225;Willoughby Lost Nation Municipal Airport;Willoughby;United States;LNN;KLNN;America/New_York
6226;Taoyuan Air Base;Taoyuan;Taiwan;NULL;RCGM;Asia/Taipei
6227;Uummannaq Heliport;Uummannaq;Greenland;UMD;BGUM;America/Godthab
6228;Bayannur Tianjitai Airport;Bayannur;China;RLK;ZBYZ;Asia/Shanghai
6229;Capital City Airport;Frankfort;United States;FFT;KFFT;America/New_York
6230;Auburn Lewiston Municipal Airport;Lewiston;United States;LEW;KLEW;America/New_York
6231;Inowroclaw Military Air Base;Inowroclaw;Poland;NULL;EPIR;Europe/Warsaw
6232;Pruszcz Gdanski Air Base;Pruszcz Gdansk;Poland;NULL;EPPR;Europe/Warsaw
6233;Bloyer Field;Tomah;United States;NULL;KY72;America/Chicago
6234;Marco Island Executive Airport;Marco Island Airport;United States;MRK;KMKY;America/New_York
6235;Drummond Island Airport;Drummond Island;United States;DRE;KDRM;America/New_York
6236;Gladwin Zettel Memorial Airport;Gladwin;United States;GDW;KGDW;America/New_York
6237;South Haven Area Regional Airport;South Haven;United States;NULL;KLWA;America/New_York
6238;Marshfield Municipal Airport;Marshfield;United States;MFI;KMFI;America/Chicago
6239;Alexander Field South Wood County Airport;Wisconsin Rapids;United States;ISW;KISW;America/Chicago
6240;Clinton Municipal Airport;Clinton;United States;CWI;KCWI;America/Chicago
6241;Beverly Municipal Airport;Beverly;United States;BVY;KBVY;America/New_York
6242;Nagaur Airport;Nagaur;India;NULL;VI73;Asia/Calcutta
6243;Ostafyevo International Airport;Moscow;Russia;OSF;UUMO;Europe/Moscow
6244;Trois-Rivières Airport;Trois Rivieres;Canada;YRQ;CYRQ;America/Toronto
6245;Poplar Bluff Municipal Airport;Poplar Bluff;United States;POF;KPOF;America/Chicago
6246;Somerset Airport;Somerville;United States;NULL;KSMQ;America/New_York
6247;Eastport Municipal Airport;Eastport;United States;NULL;KEPM;America/New_York
6248;Keokuk Municipal Airport;Keokuk;United States;EOK;KEOK;America/Chicago
6249;Perth/Scone Airport;Perth;United Kingdom;PSL;EGPT;Europe/London
6250;Caernarfon Airport;Caernarfon;United Kingdom;NULL;EGCK;Europe/London
6251;Grefrath-Niershorst Airport;Grefrath;Germany;NULL;EDLF;Europe/Berlin
6252;St Paul Downtown Holman Field;St. Paul;United States;STP;KSTP;America/Chicago
6253;Söderhamn Airport;Soderhamn;Sweden;SOO;ESNY;Europe/Stockholm
6254;Newcastle Aerodrome;Newcastle;Ireland;NULL;EINC;Europe/Dublin
6255;Saravane Airport;Saravane;Laos;VNA;VLSV;Asia/Vientiane
6256;Segeletz Airport;Segeletz;Germany;NULL;EDAI;Europe/Berlin
6257;Fuentemilanos Airport;Segovia;Spain;NULL;LEFM;Europe/Madrid
6258;Akeno Airport;Akeno;Japan;NULL;RJOE;Asia/Tokyo
6259;Ust-Kamchatsk Airport;Ust Kamchatsk;Russia;NULL;UHPK;Asia/Anadyr
6261;Kozyrevsk Airport;Kozyrevsk;Russia;NULL;UHPO;Asia/Anadyr
6262;Dikson Airport;Dikson;Russia;DKS;UODD;Asia/Krasnoyarsk
6263;Beverley Airport;Mine Site;Australia;NULL;YBEE;Australia/Adelaide
6264;Bantry Aerodrome;Bantry;Ireland;BYT;EIBN;Europe/Dublin
6265;Aliwal North Airport;Aliwal North;South Africa;NULL;FAAN;Africa/Johannesburg
6266;Alkantpan Copper Airport;Alkantpan;South Africa;NULL;FACO;Africa/Johannesburg
6267;Alldays Airport;Alldays;South Africa;ADY;FAAL;Africa/Johannesburg
6268;Bredasdorp Airport;Barberton;South Africa;NULL;FABR;Africa/Johannesburg
6269;Butler Co Regional Airport - Hogan Field;Hamilton;United States;HAO;KHAO;America/New_York
6270;Bungoma Airport;Bungoma;Kenya;NULL;HKBU;Africa/Nairobi
6271;Bura East Airport;Bura;Kenya;NULL;HKBR;Africa/Nairobi
6272;Busia Airport;Busia;Kenya;NULL;HKBA;Africa/Nairobi
6273;Embu Airport;Embu;Kenya;NULL;HKEM;Africa/Nairobi
6274;Garba Tula Airport;Garba Tula;Kenya;NULL;HKGT;Africa/Nairobi
6275;Garissa Airport;Garissa;Kenya;GAS;HKGA;Africa/Nairobi
6276;Hola Airport;Hola;Kenya;HOA;HKHO;Africa/Nairobi
6277;Homa Bay Airport;Homa Bay;Kenya;NULL;HKHB;Africa/Nairobi
6278;Isiolo Airport;Isiolo;Kenya;NULL;HKIS;Africa/Nairobi
6279;Kericho Airport;Kericho;Kenya;KEY;HKKR;Africa/Nairobi
6280;Kilaguni Airport;Kilaguni;Kenya;ILU;HKKL;Africa/Nairobi
6281;Antsirabe Airport;Antsirabe;Madagascar;ATJ;FMME;Indian/Antananarivo
6282;Bekily Airport;Bekily;Madagascar;OVA;FMSL;Indian/Antananarivo
6283;Ust-Tsylma Airport;Ust-Tsylma;Russia;UTS;UUYX;Europe/Moscow
6284;Gorno-Altaysk Airport;Gorno-Altaysk;Russia;RGK;UNBG;Asia/Krasnoyarsk
